playlist_id,track_name,track_uri,preview_url,added_at,analysis_url
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Ella's Lullaby,spotify:track:4TxfZzrq0dH2Wmfl4dAjN9,https://p.scdn.co/mp3-preview/ec3b1534e56567f5924ca63c98d73871a3595541?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/4TxfZzrq0dH2Wmfl4dAjN9
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Threads,spotify:track:30VnmNoXmeNMlDR6MxLP5U,,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/30VnmNoXmeNMlDR6MxLP5U
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Nemo Egg (Main Title),spotify:track:7jSQaXLzpLHjSQTev2krvT,,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/7jSQaXLzpLHjSQTev2krvT
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Connection,spotify:track:3OSr4tLBco2Me4WrexyoQR,https://p.scdn.co/mp3-preview/157b72a5fb7ea19027c02af629ee5da0cd72ff53?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/3OSr4tLBco2Me4WrexyoQR
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Overture (For Other Halfs),spotify:track:1F7vUCER63VfNzvZKTi2pn,https://p.scdn.co/mp3-preview/3fbb580c6910e548bd120ef6ca0bdeee3ae5c4b6?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/1F7vUCER63VfNzvZKTi2pn
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,"Floating, Floating",spotify:track:2FcAtBp8X5Du0uumXpCYGD,,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/2FcAtBp8X5Du0uumXpCYGD
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Les Chevaux,spotify:track:4ZqmGnpiF9yLu7zEsf7m1y,https://p.scdn.co/mp3-preview/5507d3a220f4a0798167cef74757af48171c99ea?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/4ZqmGnpiF9yLu7zEsf7m1y
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Solitude,spotify:track:3kgu8TFddPdy6gSJaQSeij,https://p.scdn.co/mp3-preview/107b6a65d30197f668b3d21d160faf86266b9b34?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/3kgu8TFddPdy6gSJaQSeij
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,This Moment,spotify:track:6gp6sejiJXYU1i6xHPf8hh,https://p.scdn.co/mp3-preview/2e0189ae55602f4310b2721a5b2fe6a1a6ffe4d8?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/6gp6sejiJXYU1i6xHPf8hh
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Red Gold Yesterday,spotify:track:557iYakWWJQeKbJS3UYMxG,,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/557iYakWWJQeKbJS3UYMxG
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Breathe,spotify:track:2Ixv7ct5UPgvHb2si3uE9m,https://p.scdn.co/mp3-preview/5d07637c381d813589238423a9b357ea6abddf76?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/2Ixv7ct5UPgvHb2si3uE9m
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Solêr,spotify:track:3SsXxuvEu20CnDg7LUNFDY,https://p.scdn.co/mp3-preview/05de43130c6b745f6374ec3f5edcd3c2ee787998?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/3SsXxuvEu20CnDg7LUNFDY
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,La Lluvia,spotify:track:4WKJm0usdFOUQH5Y574WtZ,https://p.scdn.co/mp3-preview/869738240b7f92bf0365f1cfe4466167f898bdfd?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/4WKJm0usdFOUQH5Y574WtZ
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Faded Dreams,spotify:track:5jxBweBbPFg53Ozudm6HrC,https://p.scdn.co/mp3-preview/116c0a3ebff9daa1c3e4ec485107779c468e2a50?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/5jxBweBbPFg53Ozudm6HrC
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Deep Forest - Cello Version,spotify:track:7gi7v5tKoJ1R7yunvDeU5F,https://p.scdn.co/mp3-preview/6324ff36dd48ba38ebaa51cf39d248ff77861164?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/7gi7v5tKoJ1R7yunvDeU5F
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Sleepers Beat Theme,spotify:track:4pR77cbN8yZzk4mgMb8aHu,,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/4pR77cbN8yZzk4mgMb8aHu
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Dreaming of You,spotify:track:5CrMJPk2EMqsIfhakzomYR,https://p.scdn.co/mp3-preview/d803cde53bd4d26c31f7bca36b88b5d9edc6dd65?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/5CrMJPk2EMqsIfhakzomYR
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Finding It There,spotify:track:5G9rra29bm2HtXcyDtRf1y,https://p.scdn.co/mp3-preview/e798b2759cbf0c51fd3cf6a975b7f0d0e15e28f7?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/5G9rra29bm2HtXcyDtRf1y
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Worlds Apart,spotify:track:1oen1dD68x1ZUOhy6WePRG,https://p.scdn.co/mp3-preview/100ba41c23afe744a61f76cd688164c1f9c46125?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/1oen1dD68x1ZUOhy6WePRG
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Wings of Glass,spotify:track:2jhrGvTh7nalekgaCk4gTP,https://p.scdn.co/mp3-preview/3f4e36a1e17195e5483068ac7bb65124bef2e655?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/2jhrGvTh7nalekgaCk4gTP
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Dawning,spotify:track:2XEDcR9jHaHJD97TdjjNpF,https://p.scdn.co/mp3-preview/3c852ff0729647f1a624c8d4ecc374245d607703?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/2XEDcR9jHaHJD97TdjjNpF
